robust	pool_size	doublet_rate	cell_count
True	3	0.0	250
True	3	0.0	500
True	3	0.0	1000
True	3	0.0	2000
True	3	0.0	3000
True	3	0.0	4000
True	3	0.0	5000
True	3	0.05	250
True	3	0.05	500
True	3	0.05	1000
True	3	0.05	2000
True	3	0.05	3000
True	3	0.05	4000
True	3	0.05	5000
True	3	0.1	250
True	3	0.1	500
True	3	0.1	1000
True	3	0.1	2000
True	3	0.1	3000
True	3	0.1	4000
True	3	0.1	5000
True	3	0.2	250
True	3	0.2	500
True	3	0.2	1000
True	3	0.2	2000
True	3	0.2	3000
True	3	0.2	4000
True	3	0.2	5000
True	4	0.0	250
True	4	0.0	500
True	4	0.0	1000
True	4	0.0	2000
True	4	0.0	3000
True	4	0.0	4000
True	4	0.0	5000
True	4	0.05	250
True	4	0.05	500
True	4	0.05	1000
True	4	0.05	2000
True	4	0.05	3000
True	4	0.05	4000
True	4	0.05	5000
True	4	0.1	250
True	4	0.1	500
True	4	0.1	1000
True	4	0.1	2000
True	4	0.1	3000
True	4	0.1	4000
True	4	0.1	5000
True	4	0.2	250
True	4	0.2	500
True	4	0.2	1000
True	4	0.2	2000
True	4	0.2	3000
True	4	0.2	4000
True	4	0.2	5000
True	5	0.0	250
True	5	0.0	500
True	5	0.0	1000
True	5	0.0	2000
True	5	0.0	3000
True	5	0.0	4000
True	5	0.0	5000
True	5	0.05	250
True	5	0.05	500
True	5	0.05	1000
True	5	0.05	2000
True	5	0.05	3000
True	5	0.05	4000
True	5	0.05	5000
True	5	0.1	250
True	5	0.1	500
True	5	0.1	1000
True	5	0.1	2000
True	5	0.1	3000
True	5	0.1	4000
True	5	0.1	5000
True	5	0.2	250
True	5	0.2	500
True	5	0.2	1000
True	5	0.2	2000
True	5	0.2	3000
True	5	0.2	4000
True	5	0.2	5000
True	6	0.0	250
True	6	0.0	500
True	6	0.0	1000
True	6	0.0	2000
True	6	0.0	3000
True	6	0.0	4000
True	6	0.0	5000
True	6	0.05	250
True	6	0.05	500
True	6	0.05	1000
True	6	0.05	2000
True	6	0.05	3000
True	6	0.05	4000
True	6	0.05	5000
True	6	0.1	250
True	6	0.1	500
True	6	0.1	1000
True	6	0.1	2000
True	6	0.1	3000
True	6	0.1	4000
True	6	0.1	5000
True	6	0.2	250
True	6	0.2	500
True	6	0.2	1000
True	6	0.2	2000
True	6	0.2	3000
True	6	0.2	4000
True	6	0.2	5000
False	3	0.0	250
False	3	0.0	500
False	3	0.0	1000
False	3	0.0	2000
False	3	0.0	3000
False	3	0.0	4000
False	3	0.0	5000
False	3	0.05	250
False	3	0.05	500
False	3	0.05	1000
False	3	0.05	2000
False	3	0.05	3000
False	3	0.05	4000
False	3	0.05	5000
False	3	0.1	250
False	3	0.1	500
False	3	0.1	1000
False	3	0.1	2000
False	3	0.1	3000
False	3	0.1	4000
False	3	0.1	5000
False	3	0.2	250
False	3	0.2	500
False	3	0.2	1000
False	3	0.2	2000
False	3	0.2	3000
False	3	0.2	4000
False	3	0.2	5000
False	4	0.0	250
False	4	0.0	500
False	4	0.0	1000
False	4	0.0	2000
False	4	0.0	3000
False	4	0.0	4000
False	4	0.0	5000
False	4	0.05	250
False	4	0.05	500
False	4	0.05	1000
False	4	0.05	2000
False	4	0.05	3000
False	4	0.05	4000
False	4	0.05	5000
False	4	0.1	250
False	4	0.1	500
False	4	0.1	1000
False	4	0.1	2000
False	4	0.1	3000
False	4	0.1	4000
False	4	0.1	5000
False	4	0.2	250
False	4	0.2	500
False	4	0.2	1000
False	4	0.2	2000
False	4	0.2	3000
False	4	0.2	4000
False	4	0.2	5000
False	5	0.0	250
False	5	0.0	500
False	5	0.0	1000
False	5	0.0	2000
False	5	0.0	3000
False	5	0.0	4000
False	5	0.0	5000
False	5	0.05	250
False	5	0.05	500
False	5	0.05	1000
False	5	0.05	2000
False	5	0.05	3000
False	5	0.05	4000
False	5	0.05	5000
False	5	0.1	250
False	5	0.1	500
False	5	0.1	1000
False	5	0.1	2000
False	5	0.1	3000
False	5	0.1	4000
False	5	0.1	5000
False	5	0.2	250
False	5	0.2	500
False	5	0.2	1000
False	5	0.2	2000
False	5	0.2	3000
False	5	0.2	4000
False	5	0.2	5000
False	6	0.0	250
False	6	0.0	500
False	6	0.0	1000
False	6	0.0	2000
False	6	0.0	3000
False	6	0.0	4000
False	6	0.0	5000
False	6	0.05	250
False	6	0.05	500
False	6	0.05	1000
False	6	0.05	2000
False	6	0.05	3000
False	6	0.05	4000
False	6	0.05	5000
False	6	0.1	250
False	6	0.1	500
False	6	0.1	1000
False	6	0.1	2000
False	6	0.1	3000
False	6	0.1	4000
False	6	0.1	5000
False	6	0.2	250
False	6	0.2	500
False	6	0.2	1000
False	6	0.2	2000
False	6	0.2	3000
False	6	0.2	4000
False	6	0.2	5000
